,City,Clouds,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,Alofi,40,NU,1565641443,88,-19.06,-169.92,77.0,10.29
1,Mahebourg,40,MU,1565641443,68,-20.41,57.7,72.0,12.75
2,Gigmoto,78,PH,1565641443,78,13.78,124.39,82.88,16.8
3,Avarua,94,CK,1565641181,78,-21.21,-159.78,78.8,3.36
4,Punta Arenas,20,CL,1565641444,59,-53.16,-70.91,37.4,19.46
5,Khatanga,75,RU,1565641149,78,71.98,102.47,54.8,11.5
6,Hermanus,33,ZA,1565641445,94,-34.42,19.24,53.01,12.71
7,Arraial do Cabo,0,BR,1565641370,78,-22.97,-42.02,75.2,17.22
8,Hasaki,40,JP,1565641445,100,35.73,140.83,78.8,3.36
9,Grand Gaube,40,MU,1565641445,68,-20.01,57.66,72.0,12.75
10,Atuona,32,PF,1565641446,76,-9.8,-139.03,80.0,18.84
11,Ilulissat,20,GL,1565641446,28,69.22,-51.1,57.2,17.22
12,Tarancon,0,ES,1565641446,17,40.01,-3.01,80.6,17.22
13,Thompson,40,CA,1565641447,42,55.74,-97.86,68.0,10.29
14,Majene,84,ID,1565641447,80,-3.54,118.97,80.18,24.83
15,Maceio,40,BR,1565641379,65,-9.67,-35.74,77.0,11.41
16,Albany,75,US,1565641448,48,42.65,-73.75,84.99,5.82
17,Kytmanovo,0,RU,1565641448,87,53.46,85.45,50.48,6.15
18,Katobu,19,ID,1565641448,90,-4.94,122.53,71.0,3.89
19,Puerto Ayora,0,EC,1565641449,61,-0.74,-90.35,78.8,5.82
20,Goderich,64,CA,1565641449,64,43.74,-81.71,80.01,5.99
21,Qaanaaq,0,GL,1565641450,63,77.48,-69.36,45.44,0.69
22,Margate,20,AU,1565641450,86,-43.03,147.26,48.0,1.12
23,Butaritari,68,KI,1565641451,66,3.07,172.79,84.68,6.85
24,Ternate,75,PH,1565641451,88,14.29,120.72,84.99,9.17
25,Busselton,22,AU,1565641451,70,-33.64,115.35,55.99,14.41
26,Henties Bay,0,NA,1565641452,89,-22.12,14.28,54.0,16.49
27,Odesskoye,77,RU,1565641452,41,54.21,72.97,70.82,16.2
28,Nampula,0,MZ,1565641452,77,-15.12,39.26,69.8,6.93
29,Porvoo,40,FI,1565641453,87,60.4,25.66,60.8,8.05
30,Ponta do Sol,0,BR,1565641453,52,-20.63,-46.0,70.47,5.66
31,Progreso,90,UY,1565641453,76,-34.68,-56.22,51.01,14.99
32,Mount Isa,0,AU,1565641453,52,-20.73,139.49,46.4,8.05
33,Gladstone,0,AU,1565641454,70,-23.84,151.26,46.4,6.93
34,Hofn,75,IS,1565641454,50,64.25,-15.21,53.6,12.75
35,Aksum,100,ET,1565641455,92,14.12,38.72,60.38,2.1
36,Ushuaia,20,AR,1565641156,100,-54.81,-68.31,37.4,28.86
37,Dingle,94,PH,1565641455,85,11.0,122.67,74.78,7.14
38,Egvekinot,90,RU,1565641455,84,66.32,-179.17,50.67,1.68
39,Billings,40,US,1565641456,29,45.79,-108.5,79.0,23.04
40,Nanortalik,100,GL,1565641456,65,60.14,-45.24,48.5,11.5
41,Rikitea,52,PF,1565641457,81,-23.12,-134.97,73.17,17.07
42,Kodiak,20,US,1565641457,62,39.95,-94.76,91.0,5.82
43,Casimiro de Abreu,0,BR,1565641457,78,-22.48,-42.2,78.8,17.22
44,Hithadhoo,100,MV,1565641457,79,-0.6,73.08,83.24,13.56
45,Arona,40,IT,1565641458,88,45.76,8.56,73.99,13.87
46,Esperance,0,AU,1565641458,75,-33.86,121.89,46.4,17.22
47,Shimoda,1,JP,1565641458,3,34.7,138.93,82.99,3.0
48,Sitka,0,US,1565641459,36,37.17,-99.65,97.0,8.99
49,Bluff,0,AU,1565641459,41,-23.58,149.07,49.04,8.72
50,Port Alfred,100,ZA,1565641459,71,-33.59,26.89,61.0,5.01
51,Longyearbyen,40,NO,1565641459,65,78.22,15.63,41.0,4.7
52,Pisco,20,PE,1565641460,30,-13.71,-76.2,71.6,10.29
53,Lata,100,IN,1565641460,93,30.78,78.62,48.14,2.64
54,Tarata,0,PE,1565641461,59,-17.47,-70.03,64.4,12.75
55,Bethel,90,US,1565641399,100,60.79,-161.76,59.0,16.11
56,Saint Anthony,1,US,1565641164,28,43.97,-111.68,75.0,8.05
57,Sao Filipe,49,CV,1565641462,82,14.9,-24.5,76.04,10.65
58,Bayonet Point,75,US,1565641462,79,28.33,-82.68,91.0,6.93
59,Cape Town,20,ZA,1565641463,87,-33.93,18.42,53.01,5.82
60,Clyde River,40,CA,1565641463,87,70.47,-68.59,44.6,6.93
61,Faya,40,SA,1565641463,67,18.39,42.45,64.4,6.93
62,Vila,40,IT,1565641464,88,45.18,8.4,73.99,13.87
63,Barrow,89,AR,1565641464,61,-38.31,-60.23,42.74,14.47
64,Balkanabat,0,TM,1565641464,30,39.51,54.36,76.58,15.73
65,Kavieng,32,PG,1565641465,74,-2.57,150.8,82.17,7.67
66,Beloha,0,MG,1565641465,96,-25.17,45.06,64.7,2.84
67,San Quintin,100,PH,1565641465,90,17.54,120.52,75.5,3.58
68,Dudinka,75,RU,1565641466,93,69.41,86.18,48.2,2.24
69,Pontianak,100,ID,1565641181,87,-0.02,109.34,80.72,15.17
70,East London,67,ZA,1565641466,63,-33.02,27.91,48.87,5.95
71,Chokurdakh,0,RU,1565641466,66,70.62,147.9,41.3,11.18
72,Quatre Cocos,40,MU,1565641467,68,-20.21,57.76,72.0,12.75
73,Mandeville,40,US,1565641451,53,30.36,-90.07,97.0,6.93
74,Bredasdorp,98,ZA,1565641467,81,-34.53,20.04,46.4,6.93
75,Yarada,75,IN,1565641468,88,17.65,83.27,82.4,4.7
76,Saint-Pierre,0,FR,1565641468,77,48.95,4.24,62.6,11.41
77,Vaini,97,IN,1565641468,91,15.34,74.49,75.87,3.29
78,Port Hardy,75,CA,1565641469,77,50.7,-127.42,64.4,4.7
79,Pochutla,40,MX,1565641469,66,15.74,-96.47,93.2,6.93
80,Nouadhibou,0,MR,1565641469,73,20.93,-17.03,73.4,18.34
81,Waddan,0,LY,1565641469,45,29.16,16.14,77.67,4.79
82,Codrington,40,AU,1565641470,93,-28.95,153.24,51.8,8.05
83,Port Elizabeth,1,US,1565641472,45,39.31,-74.98,90.0,6.93
84,Flinders,0,AU,1565641473,75,-34.58,150.85,48.99,12.75
85,Faanui,68,PF,1565641473,79,-16.48,-151.75,79.1,18.54
86,Jamestown,0,AU,1565641475,88,-33.21,138.6,37.7,3.65
87,Alta Floresta,0,BR,1565641475,22,-9.87,-56.08,96.8,6.93
88,Wuwei,100,CN,1565641476,82,37.93,102.64,63.0,3.71
89,Kawalu,87,ID,1565641476,94,-7.38,108.21,65.97,2.64
90,Souillac,0,FR,1565641476,59,45.6,-0.6,64.4,8.05
91,Botucatu,0,BR,1565641477,52,-22.89,-48.44,72.98,3.13
92,Tupanatinga,42,BR,1565641477,86,-8.75,-37.34,68.84,12.28
93,Kaeo,0,NZ,1565641477,100,-35.1,173.78,53.01,10.89
94,Acapulco,75,MX,1565641477,66,16.86,-99.88,89.6,10.29
95,Castro,75,CL,1565641478,70,-42.48,-73.76,46.4,6.93
96,Benghazi,0,LY,1565641242,71,32.12,20.07,80.37,14.81
97,Kahului,20,US,1565641437,46,20.89,-156.47,89.6,20.8
98,Patrasaer,100,IN,1565641479,73,23.2,87.53,81.0,9.75
99,Kruisfontein,100,ZA,1565641479,83,-34.0,24.73,48.14,6.49
100,Katsuura,40,JP,1565641479,83,33.93,134.5,82.0,3.36
101,Nagorsk,31,RU,1565641479,80,59.32,50.8,43.1,7.85
102,Fergus Falls,40,US,1565641280,83,46.28,-96.08,75.2,4.7
103,Mataura,100,NZ,1565641480,86,-46.19,168.86,45.0,13.0
104,Atoka,1,US,1565641480,39,34.39,-96.13,102.2,10.29
105,Takoradi,18,GH,1565641480,89,4.89,-1.75,72.44,5.28
106,Umm Lajj,5,SA,1565641481,79,25.02,37.27,87.2,9.62
107,Yellowknife,75,CA,1565641286,59,62.45,-114.38,64.0,14.99
108,Castelo do Piaui,76,BR,1565641481,29,-5.32,-41.55,91.52,5.86
109,Saint-Augustin,75,CA,1565641481,57,45.63,-73.98,81.0,8.05
110,Nyrob,100,RU,1565641482,97,60.74,56.73,45.44,9.24
111,Ismailia,0,EG,1565641409,66,30.6,32.27,76.04,5.86
112,Miri,96,NG,1565641483,80,10.31,9.75,74.07,2.75
113,Cedar Falls,90,US,1565641487,100,42.53,-92.45,75.99,5.82
114,Broken Hill,0,AU,1565641488,74,-31.97,141.45,35.6,8.19
115,Lingen,54,GB,1565641488,67,52.3,-2.93,57.2,9.17
116,Provideniya,90,RU,1565641488,93,64.42,-173.23,51.8,3.78
117,Meulaboh,100,ID,1565641489,79,4.14,96.13,81.44,6.26
118,Hilo,40,US,1565641197,65,19.71,-155.08,82.99,3.36
119,San Cristobal,69,HN,1565641489,40,14.68,-86.92,86.3,10.25
120,Nishihara,75,JP,1565641490,78,35.74,139.53,82.99,3.36
121,Saint-Philippe,75,CA,1565641490,57,45.36,-73.48,81.0,13.87
122,Luanda,20,AO,1565641243,94,-8.83,13.24,69.8,8.05
123,Mar del Plata,0,AR,1565641490,46,-46.43,-67.52,36.08,6.64
124,Kapaa,40,US,1565641491,70,22.08,-159.32,86.0,11.41
125,Murgab,90,TM,1565641491,36,37.5,61.97,80.6,13.87
126,Ratangarh,75,IN,1565641492,54,28.07,74.62,89.0,14.79
127,Walvis Bay,0,NA,1565641493,77,-22.95,14.51,66.2,2.24
128,Batsfjord,90,NO,1565641493,100,70.63,29.72,55.4,9.17
129,Shingu,25,JP,1565641493,92,33.72,135.99,72.8,5.44
130,Airai,0,TL,1565641494,51,-8.93,125.41,68.12,3.78
131,Antalaha,4,MG,1565641494,96,-14.9,50.28,59.67,3.29
132,Broome,0,GB,1565641494,93,52.47,1.45,59.0,5.82
133,Port Lincoln,40,AU,1565641225,69,-34.72,135.86,52.47,5.26
134,Ulaangom,46,MN,1565641495,70,49.98,92.07,53.54,1.45
135,Kudat,75,MY,1565641495,94,6.89,116.84,75.2,2.24
136,Namatanai,49,PG,1565641495,85,-3.66,152.44,78.02,10.51
137,Barinitas,100,VE,1565641496,92,8.76,-70.41,59.3,4.12
138,Baykit,97,RU,1565641496,80,61.68,96.39,49.58,7.78
139,Chuy,58,UY,1565641496,75,-33.69,-53.46,53.37,12.93
140,Ribeira Grande,20,PT,1565641497,78,38.52,-28.7,73.4,8.05
141,Mapimi,20,MX,1565641497,25,25.82,-103.85,96.8,9.89
142,Hami,0,CN,1565641497,11,42.84,93.51,78.2,10.78
143,Upernavik,100,GL,1565641498,59,72.79,-56.15,44.9,7.72
144,Kochevo,0,BG,1565641498,44,42.1,24.92,80.6,11.41
145,Rome,0,IT,1565641498,39,41.89,12.48,84.2,2.24
146,Mpika,0,ZM,1565641499,42,-11.84,31.4,62.54,11.03
147,Isangel,75,VU,1565641499,94,-19.55,169.27,71.6,16.93
148,Saskylakh,32,RU,1565641499,55,71.97,114.09,62.54,7.05
149,Dubrovnik,0,HR,1565641500,78,42.65,18.09,86.0,3.83
150,Soverato,0,IT,1565641501,88,38.69,16.55,80.6,4.7
151,Taoudenni,55,ML,1565641501,9,22.68,-3.98,105.38,8.1
152,Okha,0,RU,1565641502,88,53.59,142.95,54.44,9.24
153,Cloquet,1,US,1565641502,63,46.72,-92.46,73.4,5.82
154,Puerto Ayacucho,40,CO,1565641502,94,5.66,-67.63,77.0,3.36
155,Santiago del Estero,0,AR,1565641503,20,-27.8,-64.26,66.68,14.34
156,Matamoros,1,US,1565641305,50,25.87,-97.51,100.4,17.22
157,Asyut,0,EG,1565641206,30,27.18,31.19,93.2,5.82
158,Creston,90,CA,1565641503,59,49.1,-116.52,72.0,6.93
159,Yulara,0,AU,1565641503,56,-25.24,130.99,42.8,6.93
160,Kota Kinabalu,75,MY,1565641505,83,5.98,116.07,78.8,3.36
161,Jiayuguan,38,CN,1565641505,37,39.77,98.29,66.68,3.87
162,Misratah,0,LY,1565641506,76,32.38,15.09,81.8,8.55
163,Muros,20,ES,1565641506,77,42.77,-9.06,68.0,9.17
164,Libreville,75,GA,1565641206,83,0.39,9.45,77.0,6.93
165,New Norfolk,20,AU,1565641506,86,-42.78,147.06,48.0,1.12
166,Tibiri,24,NE,1565641507,55,13.57,7.05,85.58,9.93
167,Mason City,90,US,1565641496,83,43.15,-93.2,78.8,6.93
168,Christchurch,6,NZ,1565641382,79,-43.53,172.64,37.99,2.24
169,Batagay-Alyta,0,RU,1565641508,62,67.8,130.41,56.97,7.14
170,Narsaq,100,GL,1565641508,28,60.91,-46.05,59.0,33.33
171,Igarka,57,RU,1565641508,91,67.47,86.57,43.28,4.25
172,Jacareacanga,0,BR,1565641508,34,-6.22,-57.76,95.0,4.7
173,Tarauaca,0,BR,1565641224,27,-8.16,-70.77,95.48,1.5
174,Carnarvon,0,ZA,1565641509,46,-30.97,22.13,44.0,3.62
175,Russkaya Polyana,100,RU,1565641276,39,53.78,73.88,70.64,18.14
176,Saint-Francois,0,FR,1565641512,55,46.42,3.91,66.2,3.36
177,Paita,0,PE,1565641512,290,-5.09,-81.11,62.6,17.05
178,Bumba,74,CD,1565641513,91,2.18,22.47,71.72,1.28
179,Vao,100,EE,1565641513,96,59.1,26.19,55.88,2.82
180,Sabang,13,PH,1565641513,75,13.8,121.11,84.0,3.0
181,Bambous Virieux,40,MU,1565641514,68,-20.34,57.76,72.0,12.75
182,Guane,33,CU,1565641514,68,22.2,-84.09,85.58,9.48
183,Freeport,75,BS,1565641342,59,26.54,-78.7,91.4,6.93
184,Cabedelo,75,BR,1565641515,83,-6.97,-34.84,77.0,10.29
185,Zhigansk,65,RU,1565641515,53,66.77,123.37,62.72,5.3
186,Valle Hermoso,90,MX,1565641515,29,25.67,-97.82,102.2,13.87
187,Leningradskiy,100,RU,1565641515,98,69.38,178.42,40.04,6.53
188,Magdagachi,80,RU,1565641516,74,53.45,125.8,55.88,2.42
189,Qom,90,IR,1565641516,30,34.64,50.88,75.5,8.66
190,Tutoia,20,BR,1565641516,78,-2.76,-42.27,82.4,13.87
191,Batagay,0,RU,1565641516,56,67.65,134.64,59.67,3.78
192,Rawson,100,AR,1565641517,48,-43.3,-65.11,38.97,9.26
193,Islamkot,52,PK,1565641517,77,24.7,70.18,82.7,13.0
194,Xuddur,48,SO,1565641517,62,4.12,43.89,74.6,22.73
195,Lazaro Cardenas,75,MX,1565641518,27,28.39,-105.62,91.4,13.87
196,Gonbad-e Qabus,0,IR,1565641518,78,37.25,55.17,73.4,4.7
197,Vetluzhskiy,0,RU,1565641518,91,58.39,45.47,41.84,4.9
198,Vardo,20,US,1565641519,35,39.62,-77.74,91.99,10.29
199,Lusambo,0,CD,1565641519,55,-4.97,23.44,75.5,1.68
200,Sonoita,40,US,1565641520,31,31.68,-110.66,100.0,9.17
201,Fort Nelson,75,CA,1565641520,63,58.81,-122.69,62.6,4.7
202,Chumikan,100,RU,1565641521,97,54.72,135.31,52.47,2.19
203,Cleveland,90,US,1565641435,57,41.51,-81.69,81.0,10.29
204,Kouango,100,CF,1565641522,93,4.99,19.98,71.54,1.88
205,Wadi Musa,0,JO,1565641522,36,30.32,35.48,71.0,2.33
206,Geraldton,75,CA,1565641522,33,49.72,-86.95,73.4,14.99
207,Gorontalo,16,ID,1565641522,88,0.54,123.06,75.14,8.37
208,Wladyslawowo,0,PL,1565641523,88,54.79,18.4,69.01,3.36
209,Calama,0,CL,1565641523,4,-22.46,-68.93,73.4,11.41
210,Non Thai,100,TH,1565641523,90,15.2,102.07,76.77,3.98
211,Lavrentiya,100,RU,1565641525,92,65.58,-170.99,52.82,4.65
212,Schwechat,0,AT,1565641525,77,48.14,16.48,69.01,9.17
213,Georgetown,20,GY,1565641525,74,6.8,-58.16,89.6,11.41
214,Pangoa,26,PE,1565641525,47,-12.12,-73.0,87.02,3.51
215,Lisala,98,CD,1565641526,92,2.15,21.52,72.08,1.7
216,Giyon,100,ET,1565641526,94,8.53,37.98,60.38,1.59
217,Grand Bank,75,CA,1565641526,88,47.1,-55.77,64.4,16.11
218,Lesosibirsk,100,RU,1565641527,76,58.22,92.49,48.14,6.13
219,Touros,75,BR,1565641527,100,-5.2,-35.46,73.4,5.82
220,Liebling,0,RO,1565641527,78,45.58,21.32,89.6,5.82
221,Santa Maria,0,BR,1565641527,25,-16.02,-48.01,84.2,9.17
222,Bushehr,40,IR,1565641528,59,28.97,50.84,89.6,4.7
223,Tailai,100,CN,1565641528,94,46.39,123.41,60.02,6.93
224,Buckeye,0,US,1565641528,11,33.37,-112.58,107.01,10.0
